subject,block,rep,vowel,exemplar1,exemplar2,talker1,talker2,same
0,1,1,EH,1,2,X,Y,0
0,1,2,IH,3,1,B,A,0
0,1,3,AH,2,3,Y,X,0
0,1,4,OO,3,3,Y,Y,1
0,1,5,OO,1,1,X,X,1
0,1,6,IH,2,2,A,A,1
0,1,7,EH,2,3,A,B,0
0,1,8,AH,1,2,B,B,1
0,2,1,EH,3,1,Y,Y,1
0,2,2,IH,2,3,B,A,0
0,2,3,OO,3,2,A,A,1
0,2,4,AH,1,1,X,Y,0
0,2,5,EH,2,3,X,X,1
0,2,6,IH,3,2,Y,X,0
0,2,7,AH,1,1,B,B,1
0,2,8,OO,3,1,X,X,1
0,2,9,EH,1,2,A,A,1
0,2,10,AH,2,3,Y,Y,1
0,2,11,IH,2,1,A,B,0
0,2,12,OO,3,3,B,B,1
0,2,13,IH,1,2,Y,Y,1
0,2,14,OO,2,2,A,B,0
0,2,15,AH,1,3,B,B,1
0,2,16,EH,3,1,Y,Y,1
0,2,17,OO,2,1,A,A,1
0,2,18,AH,3,2,A,A,1
0,2,19,IH,1,3,X,X,1
0,2,20,EH,3,3,X,X,1
0,2,21,IH,2,1,Y,X,0
0,2,22,EH,1,2,X,Y,0
0,2,23,OO,3,2,B,A,0
0,2,24,AH,1,3,B,B,1
0,2,25,EH,2,1,Y,Y,1
0,2,26,AH,2,2,A,B,0
0,2,27,OO,1,3,B,A,0
0,2,28,IH,3,1,A,A,1
0,2,29,AH,3,1,X,Y,0
0,2,30,OO,1,2,B,B,1
0,2,31,IH,2,3,A,A,1
0,2,32,EH,2,1,X,X,1
0,2,33,OO,1,2,X,X,1
0,2,34,EH,3,3,Y,Y,1
0,2,35,AH,3,1,B,B,1
0,2,36,IH,2,3,Y,X,0
0,2,37,AH,1,2,X,X,1
0,2,38,OO,1,1,B,B,1
0,2,39,EH,2,2,A,A,1
0,2,40,IH,3,3,Y,X,0
0,2,41,AH,3,2,B,A,0
0,2,42,IH,1,1,A,B,0
0,2,43,OO,2,3,Y,Y,1
0,2,44,EH,3,1,B,B,1
0,2,45,AH,2,3,A,A,1
0,2,46,EH,1,2,Y,Y,1
0,2,47,OO,2,2,X,X,1
0,2,48,IH,3,1,X,Y,0
0,3,1,IH,1,3,Y,Y,1
0,3,2,AH,3,2,B,B,1
0,3,3,EH,1,3,X,Y,0
0,3,4,OO,2,1,A,B,0
0,3,5,OO,2,2,Y,X,0
0,3,6,IH,1,3,X,X,1
0,3,7,AH,3,1,B,A,0
0,3,8,EH,2,3,Y,Y,1
0,3,9,AH,3,1,X,X,1
0,3,10,EH,1,2,A,A,1
0,3,11,OO,2,3,B,B,1
0,3,12,IH,1,2,A,A,1
0,3,13,IH,3,1,A,A,1
0,3,14,AH,3,3,A,A,1
0,3,15,OO,1,1,X,Y,0
0,3,16,EH,2,2,B,B,1
0,3,17,IH,3,3,B,B,1
0,3,18,AH,2,2,A,B,0
0,3,19,OO,1,1,Y,Y,1
0,3,20,EH,2,3,Y,Y,1
0,3,21,EH,1,1,X,X,1
0,3,22,AH,3,2,X,X,1
0,3,23,IH,3,1,B,A,0
0,3,24,OO,1,3,Y,X,0
0,3,25,IH,2,2,Y,Y,1
0,3,26,EH,3,2,X,X,1
0,3,27,OO,2,1,X,Y,0
0,3,28,AH,1,3,A,A,1
0,3,29,AH,2,3,A,A,1
0,3,30,EH,1,2,B,B,1
0,3,31,OO,3,1,B,B,1
0,3,32,IH,2,3,B,A,0
0,3,33,AH,1,2,Y,Y,1
0,3,34,OO,3,1,Y,X,0
0,3,35,EH,1,2,A,B,0
0,3,36,IH,2,3,X,X,1
0,3,37,OO,3,1,Y,X,0
0,3,38,EH,3,3,B,B,1
0,3,39,AH,2,2,A,A,1
0,3,40,IH,1,1,X,X,1
0,3,41,EH,2,2,Y,Y,1
0,3,42,IH,3,1,X,Y,0
0,3,43,AH,1,3,Y,Y,1
0,3,44,OO,3,1,A,A,1
0,3,45,IH,1,3,X,X,1
0,3,46,OO,2,2,A,B,0
0,3,47,AH,1,2,B,B,1
0,3,48,EH,2,1,B,A,0
0,4,1,AH,3,3,Y,Y,1
0,4,2,IH,3,1,X,X,1
0,4,3,OO,2,2,A,A,1
0,4,4,EH,1,3,A,A,1
0,4,5,IH,3,1,B,A,0
0,4,6,OO,2,2,Y,X,0
0,4,7,AH,1,3,A,B,0
0,4,8,EH,2,1,B,B,1
0,4,9,OO,3,3,X,X,1
0,4,10,AH,1,2,X,Y,0
0,4,11,IH,2,2,Y,Y,1
0,4,12,EH,1,3,B,B,1
0,4,13,OO,3,1,Y,X,0
0,4,14,IH,1,1,B,A,0
0,4,15,AH,2,2,X,X,1
0,4,16,EH,3,3,X,X,1
0,4,17,EH,2,2,Y,Y,1
0,4,18,IH,3,1,B,B,1
0,4,19,AH,1,3,A,A,1
0,4,20,OO,3,1,Y,Y,1
0,4,21,IH,2,2,A,A,1
0,4,22,EH,1,3,B,B,1
0,4,23,OO,2,1,X,Y,0
0,4,24,AH,1,2,A,B,0
0,4,25,EH,3,3,Y,Y,1
0,4,26,IH,1,3,Y,Y,1
0,4,27,OO,3,1,Y,X,0
0,4,28,AH,2,2,X,X,1
0,4,29,AH,3,1,A,A,1
0,4,30,IH,2,3,X,Y,0
0,4,31,EH,1,2,B,A,0
0,4,32,OO,1,1,X,X,1
0,4,33,EH,2,2,B,B,1
0,4,34,AH,3,3,A,B,0
0,4,35,OO,1,2,A,A,1
0,4,36,IH,3,1,B,B,1
0,4,37,AH,2,3,Y,Y,1
0,4,38,EH,3,3,X,Y,0
0,4,39,OO,2,2,Y,Y,1
0,4,40,IH,1,1,A,A,1
0,4,41,IH,3,2,Y,X,0
0,4,42,AH,1,3,B,B,1
0,4,43,EH,2,1,B,A,0
0,4,44,OO,3,2,X,X,1
0,4,45,IH,2,1,X,X,1
0,4,46,AH,1,3,B,B,1
0,4,47,OO,1,2,A,B,0
0,4,48,EH,2,1,A,A,1
0,5,1,OO,3,3,Y,Y,1
0,5,2,EH,3,1,X,X,1
0,5,3,IH,2,3,X,X,1
0,5,4,AH,1,2,Y,X,0
0,5,5,EH,2,2,B,B,1
0,5,6,IH,3,3,Y,Y,1
0,5,7,AH,1,1,B,B,1
0,5,8,OO,1,1,B,A,0
0,5,9,EH,3,2,A,A,1
0,5,10,AH,2,3,X,Y,0
0,5,11,OO,3,1,A,A,1
0,5,12,IH,1,2,A,B,0
0,5,13,IH,2,3,B,B,1
0,5,14,OO,1,1,X,X,1
0,5,15,EH,3,2,X,Y,0
0,5,16,AH,2,3,A,A,1
0,5,17,IH,3,3,A,B,0
0,5,18,AH,2,1,Y,Y,1
0,5,19,OO,1,2,Y,X,0
0,5,20,EH,1,2,Y,Y,1
0,5,21,EH,2,3,X,X,1
0,5,22,IH,3,1,A,A,1
0,5,23,OO,1,2,B,A,0
0,5,24,AH,3,3,B,B,1
0,5,25,IH,2,1,B,B,1
0,5,26,AH,3,3,Y,Y,1
0,5,27,OO,2,2,X,Y,0
0,5,28,EH,1,1,X,X,1
0,5,29,EH,2,2,B,B,1
0,5,30,AH,3,3,X,X,1
0,5,31,IH,1,1,Y,Y,1
0,5,32,OO,2,2,B,A,0
0,5,33,AH,3,3,A,A,1
0,5,34,IH,1,1,A,A,1
0,5,35,OO,3,3,A,B,0
0,5,36,EH,2,2,Y,X,0
0,5,37,EH,1,1,A,B,0
0,5,38,AH,2,3,Y,Y,1
0,5,39,IH,3,2,X,Y,0
0,5,40,OO,1,1,Y,X,0
0,5,41,IH,1,1,X,X,1
0,5,42,EH,2,2,A,A,1
0,5,43,OO,3,3,B,B,1
0,5,44,AH,3,2,B,B,1
0,5,45,EH,2,1,A,A,1
0,5,46,OO,1,3,Y,Y,1
0,5,47,AH,3,3,X,X,1
0,5,48,IH,2,1,B,A,0
0,6,1,IH,1,2,X,X,1
0,6,2,OO,1,1,Y,Y,1
0,6,3,EH,3,2,X,X,1
0,6,4,AH,2,3,A,B,0
0,6,5,EH,2,3,B,B,1
0,6,6,OO,3,2,Y,Y,1
0,6,7,AH,1,1,B,B,1
0,6,8,IH,2,1,A,A,1
0,6,9,AH,3,3,A,A,1
0,6,10,EH,1,2,B,A,0
0,6,11,OO,2,2,Y,X,0
0,6,12,IH,1,3,X,Y,0
0,6,13,IH,3,1,X,Y,0
0,6,14,OO,2,1,Y,Y,1
0,6,15,EH,1,3,B,B,1
0,6,16,AH,3,2,X,X,1
0,6,17,AH,3,3,Y,X,0
0,6,18,OO,1,2,A,B,0
0,6,19,EH,2,1,A,A,1
0,6,20,IH,2,3,X,X,1
0,6,21,AH,3,1,Y,Y,1
0,6,22,EH,1,2,A,A,1
0,6,23,IH,2,3,B,A,0
0,6,24,OO,3,1,B,B,1
0,6,25,OO,1,2,B,B,1
0,6,26,EH,2,2,Y,Y,1
0,6,27,AH,1,1,X,X,1
0,6,28,IH,3,3,X,X,1
0,6,29,AH,3,3,Y,Y,1
0,6,30,OO,1,1,X,Y,0
0,6,31,IH,2,2,B,A,0
0,6,32,EH,1,2,Y,X,0
0,6,33,OO,2,1,A,A,1
0,6,34,AH,3,3,B,B,1
0,6,35,EH,2,2,A,A,1
0,6,36,IH,1,3,A,B,0
0,6,37,EH,3,1,Y,Y,1
0,6,38,IH,1,1,X,X,1
0,6,39,OO,2,2,X,Y,0
0,6,40,AH,3,3,A,A,1
0,6,41,EH,1,3,A,B,0
0,6,42,AH,3,2,B,A,0
0,6,43,OO,2,1,X,X,1
0,6,44,IH,1,3,B,B,1
0,6,45,AH,3,2,Y,Y,1
0,6,46,IH,2,1,B,B,1
0,6,47,EH,1,1,Y,X,0
0,6,48,OO,2,2,A,A,1
